timestamp,window_title,feature_text,predicted_q,corrected_q
2026-06-01 07:09:21,BeeAware_Sprint8.docx - Word,winword | app | office | unknown | unknown | BeeAware_Sprint8.docx - Word,3,1
2026-06-01 07:09:27,BeeAware_Sprint8.docx - Word,winword | app | office | unknown | unknown | BeeAware_Sprint8.docx - Word,3,1
2026-06-01 07:13:24,BeeAware_Sprint8.docx - Word,winword | app | office | unknown | unknown | BeeAware_Sprint8.docx - Word,3,1
2026-06-01 07:57:00,(1) Blair | Play on Roblox — Zen Browser,zen | web browser | game | browser | unknown | (1) Blair | Play on Roblox — Zen Browser,2,3
2026-06-01 07:57:21,AS Margate | Messenger — Zen Browser,zen | web browser | app | browser | unknown | AS Margate | Messenger — Zen Browser,3,2
2026-06-01 08:11:55,Sprint 8 deliverable and Beeware app - Claude — Zen Browser,zen | web browser | app | browser | unknown | Sprint 8 deliverable and Beeware app - Claude — Zen Browser,1,1
2026-06-01 08:12:13,(4) Discord | #💟︱waifu | Hotel Barriga 2.0 — Zen Browser,zen | web browser | communication | social | discord | (4) Discord | #💟︱waifu | Hotel Barriga 2.0 — Zen Browser,1,2
2026-06-01 08:12:37,Institution Page — Zen Browser,zen | web browser | app | browser | unknown | Institution Page — Zen Browser,2,1
2026-06-01 08:12:43,"Mairimashita Iruma-Kun, Chapter 380 - Mairimashita Iruma-Kun Manga Online — Zen Browser","zen | web browser | app | browser | unknown | Mairimashita Iruma-Kun, Chapter 380 - Mairimashita Iruma-Kun Manga Online — Zen Browser",1,2
2026-06-01 08:15:34,Assessment Feedback — Zen Browser,zen | web browser | app | browser | unknown | Assessment Feedback — Zen Browser,2,1
2026-06-01 09:01:46,Beeware | Live Productivity Engine,python | app | app | unknown | unknown | Beeware | Live Productivity Engine,1,1
2026-06-01 09:01:54,beeware_daily_log.csv - MachineLearninng - Visual Studio Code,code | app | dev | unknown | unknown | beeware_daily_log.csv - MachineLearninng - Visual Studio Code,1,1
2026-06-09 16:05:29,BeeAware | Live Productivity Engine,python | app | app | unknown | unknown | BeeAware | Live Productivity Engine,1,0
2026-06-09 16:13:39,floating_bar.py - MachineLearninng - Visual Studio Code,code | app | dev | unknown | unknown | floating_bar.py - MachineLearninng - Visual Studio Code,3,1
2026-06-18 19:33:40,Vanoss is the MECCHA CHAMELEON - YouTube — Zen Browser,zen | web browser | media | media | youtube | Vanoss is the MECCHA CHAMELEON - YouTube — Zen Browser,2,3
2026-06-18 19:37:45,LimbusCompany,limbuscompany | app | app | unknown | unknown | LimbusCompany,1,3
2026-06-18 19:44:15,main.py - MachineLearninng - Visual Studio Code,code | app | dev | unknown | unknown | main.py - MachineLearninng - Visual Studio Code,3,1
2026-06-18 19:52:50,BeeAware_PitchDeck - PowerPoint,powerpnt | app | office | unknown | unknown | BeeAware_PitchDeck - PowerPoint,3,0
2026-08-26 01:58:42,Rich Nigords Association | Messenger — Zen Browser,zen | web browser | app | browser | unknown | Rich Nigords Association | Messenger — Zen Browser,1,2
timestamp,window_title,feature_text,predicted_q,corrected_q
2026-06-10 15:09:32,Discord project chat,zen | web browser | communication | social | discord | Discord project chat,0,2
2026-06-23 10:55:02,YouTube tutorial,zen | web browser | media | media | youtube | YouTube tutorial,1,3
2026-08-12 13:14:53,Dataset analysis,excel | app | office | unknown | unknown | Dataset analysis,2,0
2026-08-18 17:49:34,Discord project chat,zen | web browser | communication | social | discord | Discord project chat,1,2
