timestamp,q1_urgent,q2_growth,q3_noise,q4_play,switching_intensity
2026-05-04 09:43:53,76,193,0,1201,57
2026-05-09 22:34:37,25,15,92,7,48
2026-05-11 16:03:48,90,36,70,24,44
2026-05-20 11:13:35,58,3,58,5,17
2026-05-26 10:54:07,18,0,7,0,7
2026-05-28 14:42:19,22,0,0,0,12
2026-05-30 12:02:51,91,63,6062,9670,848
2026-05-31 19:37:37,113656,19540,20284,5900,61
2026-06-01 21:27:22,1,382,9,97,39
2026-06-02 07:25:43,37,74,0,1,26
2026-06-09 16:36:17,164,244,40,75,127
2026-06-17 10:39:22,0,13,0,14,10
2026-06-18 19:54:11,27,192,78,215,38
2026-08-26 08:05:05,12,312,2676,199,162
2026-09-01 14:48:13,337,1167,406,57,51
