date,session_ts,exe_name,total_seconds,q1_seconds,q2_seconds,q3_seconds,q4_seconds,dominant_q,frequency_rank
2026-05-26,2026-05-26 10:54:07,zen.exe,20,13,0,7,0,0,1
2026-05-26,2026-05-26 10:54:07,python.exe,5,5,0,0,0,0,2
2026-05-28,2026-05-28 14:42:19,code.exe,12,12,0,0,0,0,1
2026-05-28,2026-05-28 14:42:19,python.exe,10,10,0,0,0,0,2
2026-05-30,2026-05-30 12:02:51,zen.exe,8929,0,59,6062,2808,2,1
2026-05-30,2026-05-30 12:02:51,limbuscompany.exe,6811,0,0,0,6811,3,2
2026-05-30,2026-05-30 12:02:51,python.exe,77,77,0,0,0,0,3
2026-05-30,2026-05-30 12:02:51,discord.exe,25,0,0,0,25,3,4
2026-05-30,2026-05-30 12:02:51,winword.exe,14,14,0,0,0,0,5
2026-05-30,2026-05-30 12:02:51,dwm.exe,9,0,0,0,9,3,6
2026-05-30,2026-05-30 12:02:51,searchapp.exe,6,0,0,0,6,3,7
2026-05-30,2026-05-30 12:02:51,mspaint.exe,4,0,0,0,4,3,8
2026-05-30,2026-05-30 12:02:51,code.exe,4,0,4,0,0,1,9
2026-05-30,2026-05-30 12:02:51,applicationframehost.exe,4,0,0,0,4,3,10
2026-05-30,2026-05-30 12:02:51,screenclippinghost.exe,2,0,0,0,2,3,11
2026-05-30,2026-05-30 12:02:51,steamwebhelper.exe,1,0,0,0,1,3,12
2026-05-31,2026-05-31 18:48:42,zen.exe,768,0,0,95,673,3,1
2026-05-31,2026-05-31 18:48:42,python.exe,14,14,0,0,0,0,2
2026-05-31,2026-05-31 18:48:42,discord.exe,7,0,0,5,2,2,3
2026-05-31,2026-05-31 19:04:48,python.exe,6143,6143,0,0,0,0,1
2026-05-31,2026-05-31 19:14:05,python.exe,62280,62280,0,0,0,0,1
2026-05-31,2026-05-31 19:15:54,zen.exe,20176,1,0,20175,0,2,1
2026-05-31,2026-05-31 19:15:54,python.exe,15291,15291,0,0,0,0,2
2026-05-31,2026-05-31 19:15:54,applicationframehost.exe,518,0,0,0,518,3,3
2026-05-31,2026-05-31 19:15:54,screenclippinghost.exe,87,0,0,0,87,3,4
2026-05-31,2026-05-31 19:21:55,python.exe,27846,27846,0,0,0,0,1
2026-05-31,2026-05-31 19:21:55,code.exe,19208,0,19208,0,0,1,2
2026-05-31,2026-05-31 19:21:55,applicationframehost.exe,3025,0,0,0,3025,3,3
2026-05-31,2026-05-31 19:21:55,searchapp.exe,2056,2056,0,0,0,0,4
2026-05-31,2026-05-31 19:21:55,screenclippinghost.exe,1244,0,0,0,1244,3,5
2026-05-31,2026-05-31 19:34:05,zen.exe,338,0,4,9,325,3,1
2026-05-31,2026-05-31 19:34:05,code.exe,167,0,167,0,0,1,2
2026-05-31,2026-05-31 19:34:05,python.exe,25,25,0,0,0,0,3
2026-05-31,2026-05-31 19:34:05,hdsentinel.exe,10,0,0,0,10,3,4
2026-05-31,2026-05-31 19:34:05,applicationframehost.exe,6,0,0,0,6,3,5
2026-05-31,2026-05-31 19:34:05,voicemeeterpro_x64.exe,6,0,0,0,6,3,6
2026-05-31,2026-05-31 19:36:57,code.exe,142,0,142,0,0,1,1
2026-05-31,2026-05-31 19:36:57,applicationframehost.exe,3,0,0,0,3,3,2
2026-05-31,2026-05-31 19:36:57,zen.exe,1,0,0,0,1,3,3
2026-05-31,2026-05-31 19:37:37,code.exe,19,0,19,0,0,1,1
2026-06-01,2026-06-01 08:54:37,zen.exe,35,0,0,0,35,3,1
2026-06-01,2026-06-01 08:54:37,code.exe,4,0,4,0,0,1,2
2026-06-01,2026-06-01 09:00:00,code.exe,3,0,3,0,0,1,1
2026-06-01,2026-06-01 09:02:44,zen.exe,35,0,6,9,20,3,1
2026-06-01,2026-06-01 09:02:44,code.exe,6,0,6,0,0,1,2
2026-06-01,2026-06-01 09:02:44,githubdesktop.exe,1,1,0,0,0,0,3
2026-06-01,2026-06-01 09:05:25,code.exe,10,0,10,0,0,1,1
2026-06-01,2026-06-01 09:05:44,zen.exe,5,0,0,0,5,3,1
