window_title,quadrant
Source Filmmaker - App,1
3DCoat 4.8 - App,1
Rocksmith™ - App,1
3DMark 11 - App,1
RPG Maker VX Ace - App,1
Rocksmith® 2014 Edition - Remastered - App,1
Driver Fusion - The Best Driver & Device Solution - App,1
RPG Maker XP - App,1
Wing IDE 5 - App,1
Clickteam Fusion 2.5 - App,1
Leadwerks Game Engine - App,1
Fantasy Grounds - App,1
Axis Game Factory's AGFPRO v3 - App,1
Aartform Curvy 3D 3.0 - App,1
Catzilla 4K - Advanced - App,1
Manga Maker Comipo - App,1
Liquid Rhythm - App,1
Squirt's Adventure - App,1
EF-12: Fighting Game Maker - App,1
Geekbench 3 - App,1
GameGuru - App,1
Star Swarm Stress Test - App,1
EVGA Precision XOC - App,1
liteCam Game: 100 FPS Game Capture - App,1
MorphVOX Pro - Voice Changer - App,1
GTGD S1: More Than a Gamer - App,1
Car Mechanic Simulator 2014 - App,1
FaceRig - App,1
Influent - App,1
3D ParticleGen Visual FX - App,1
Krita - App,1
Easy™ eSports - App,1
liteCam HD 5.0: Screen/Stream Capture - App,1
Game Character Hub - App,1
openCanvas 6 - App,1
AutoTileGen - App,1
AppGameKit: Easy Game Development - App,1
Tilt Brush - App,1
MyRPG Master - App,1
Spriter Pro - App,1
PD Howler 9.6 Digital Painter and Visual FX box - App,1
"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s - App",1
001 Game Creator - App,1
Nimble Writer - App,1
Metamorphabet - App,1
Leadwerks Game Launcher - App,1
Math Rescue - App,1
Word Rescue - App,1
Let's Explore the Airport (Junior Field Trips) - App,1
Let's Explore the Farm (Junior Field Trips) - App,1
Let's Explore the Jungle (Junior Field Trips) - App,1
RPG Maker MV - App,1
CopperCube 5 Game Engine - App,1
Platfinity™ - App,1
Controller Companion - App,1
GeoVox - App,1
Shoot 'Em Up Kit - App,1
The Language Game - App,1
Professor Why™ Chemistry 1 - App,1
Rytmik Ultimate - App,1
Big Thinkers Kindergarten - App,1
Big Thinkers 1st Grade - App,1
Flute Master - App,1
Virtual Desktop - App,1
CPUCores :: Maximize Your FPS - App,1
articy:draft 3 - Flex License - App,1
Pluto - App,1
Kanji Training Game - App,1
openCanvas 7 - App,1
Amos From Outer Space - App,1
The Deer - App,1
MODO indie - App,1
String Theory - App,1
mdiapp+ SE - App,1
Godot Engine - App,1
ePic Character Generator - App,1
Discovering Colors - Animals - App,1
GTGD S3 How To Make A Game - App,1
Hiragana Pixel Party - App,1
Home Design 3D - App,1
Little Mouse's Encyclopedia - App,1
Answer The Question - App,1
liteCam Game 5:  120 FPS Game Capture + Streamer - App,1
Rytmik Player - App,1
The Music Room - App,1
Wallpaper Engine - App,1
Rytmik Lite Chiptune Synthesizer - App,1
Learn Japanese To Survive! Hiragana Battle - App,1
3DF Zephyr Lite Steam Edition - App,1
