study_hrs,distraction_hrs,sleep_hrs,stress_level,source,is_productive
4.35,7.99,3.63,10,kaggle_20k,0
6.14,3.24,6.58,10,kaggle_20k,0
4.98,8.34,3.26,2,kaggle_20k,0
3.19,6.470000000000001,4.58,6,kaggle_20k,0
7.67,7.24,6.21,6,kaggle_20k,1
7.18,3.9000000000000004,3.52,10,kaggle_20k,0
9.06,10.43,6.36,8,kaggle_20k,0
6.37,6.5,4.86,6,kaggle_20k,1
4.19,6.25,4.87,3,kaggle_20k,0
7.28,3.36,9.56,10,kaggle_20k,1
6.38,3.08,7.83,10,kaggle_20k,1
6.36,3.66,9.51,10,kaggle_20k,1
8.57,13.18,7.03,3,kaggle_20k,1
9.15,6.16,9.35,4,kaggle_20k,1
2.21,12.95,8.86,8,kaggle_20k,0
3.48,4.33,9.98,5,kaggle_20k,1
6.68,10.620000000000001,6.52,2,kaggle_20k,1
5.79,8.61,7.87,10,kaggle_20k,0
6.7,5.199999999999999,4.12,8,kaggle_20k,0
4.61,9.03,9.58,4,kaggle_20k,0
4.42,10.79,5.79,10,kaggle_20k,1
1.62,5.59,9.42,7,kaggle_20k,0
6.42,8.370000000000001,3.7,8,kaggle_20k,0
2.17,11.07,6.61,6,kaggle_20k,0
6.87,0.52,3.01,9,kaggle_20k,0
9.69,8.42,5.91,8,kaggle_20k,1
2.94,4.08,3.58,8,kaggle_20k,0
1.85,7.77,6.14,5,kaggle_20k,0
0.73,1.8399999999999999,6.89,4,kaggle_20k,0
4.1,8.17,8.97,7,kaggle_20k,1
2.54,8.81,5.07,9,kaggle_20k,0
5.17,11.16,6.97,10,kaggle_20k,0
5.48,12.95,3.47,4,kaggle_20k,0
3.82,4.93,9.39,5,kaggle_20k,1
7.62,3.98,6.16,7,kaggle_20k,1
9.1,8.23,4.77,2,kaggle_20k,1
2.51,6.53,6.24,2,kaggle_20k,0
8.44,5.300000000000001,6.37,9,kaggle_20k,1
1.75,5.5,8.2,9,kaggle_20k,0
2.67,2.45,9.82,6,kaggle_20k,0
5.83,9.42,4.3,4,kaggle_20k,0
3.41,2.8,3.38,7,kaggle_20k,0
0.9,6.050000000000001,7.59,10,kaggle_20k,0
3.3,6.0200000000000005,9.19,9,kaggle_20k,0
9.1,1.1400000000000001,6.96,4,kaggle_20k,1
2.16,11.53,3.56,2,kaggle_20k,0
7.76,9.559999999999999,5.95,10,kaggle_20k,1
7.36,7.76,7.58,8,kaggle_20k,1
1.51,8.45,5.3,3,kaggle_20k,0
3.63,2.9,8.91,1,kaggle_20k,1
2.3,6.0600000000000005,4.57,9,kaggle_20k,0
0.72,8.11,5.55,2,kaggle_20k,0
2.14,8.47,9.42,1,kaggle_20k,0
2.41,2.73,7.01,9,kaggle_20k,0
2.08,7.290000000000001,3.04,5,kaggle_20k,0
1.37,8.15,4.71,3,kaggle_20k,0
5.5,6.12,8.27,5,kaggle_20k,1
3.57,6.82,3.36,10,kaggle_20k,0
9.13,9.43,9.95,5,kaggle_20k,1
2.28,6.77,9.29,3,kaggle_20k,0
6.23,2.45,4.57,2,kaggle_20k,1
9.06,2.86,9.27,1,kaggle_20k,1
0.95,6.82,7.9,7,kaggle_20k,0
5.4,3.5100000000000002,5.98,3,kaggle_20k,1
4.78,6.42,4.37,4,kaggle_20k,0
9.32,1.43,4.4,5,kaggle_20k,1
6.81,7.46,7.16,4,kaggle_20k,1
3.82,1.6600000000000001,5.91,8,kaggle_20k,0
7.26,8.51,7.17,7,kaggle_20k,1
6.04,7.890000000000001,5.31,3,kaggle_20k,1
3.8,3.5100000000000002,4.61,6,kaggle_20k,0
7.96,6.35,8.86,7,kaggle_20k,1
6.85,9.629999999999999,9.44,10,kaggle_20k,1
0.55,6.16,7.94,4,kaggle_20k,0
8.72,7.03,4.13,4,kaggle_20k,1
4.27,8.08,3.65,5,kaggle_20k,0
6.63,5.81,6.77,2,kaggle_20k,1
4.27,6.970000000000001,6.85,5,kaggle_20k,1
8.87,7.62,7.47,6,kaggle_20k,1
6.68,7.59,9.34,7,kaggle_20k,1
6.0,9.09,7.53,4,kaggle_20k,1
9.81,1.4600000000000002,9.41,1,kaggle_20k,1
3.17,9.77,3.82,8,kaggle_20k,0
1.12,5.52,7.96,6,kaggle_20k,0
5.4,8.71,9.49,10,kaggle_20k,0
4.53,6.279999999999999,6.24,10,kaggle_20k,0
4.82,12.04,9.77,2,kaggle_20k,1
6.39,8.07,6.87,3,kaggle_20k,0
6.34,5.029999999999999,9.6,7,kaggle_20k,1
4.23,3.39,8.24,3,kaggle_20k,1
8.7,11.42,6.2,5,kaggle_20k,1
6.69,5.66,3.24,5,kaggle_20k,0
8.95,4.28,7.6,3,kaggle_20k,1
9.17,7.46,4.78,3,kaggle_20k,1
2.09,1.52,5.02,1,kaggle_20k,0
6.97,7.34,3.14,8,kaggle_20k,0
3.52,3.33,6.9,6,kaggle_20k,0
8.45,2.1500000000000004,5.03,1,kaggle_20k,1
7.46,13.39,9.88,9,kaggle_20k,1
2.39,8.05,8.24,6,kaggle_20k,0
9.42,4.91,5.5,3,kaggle_20k,1
6.99,6.78,5.06,2,kaggle_20k,1
9.51,5.56,8.0,4,kaggle_20k,1
2.42,5.4,4.78,6,kaggle_20k,0
8.76,5.9,6.14,7,kaggle_20k,1
6.85,5.4399999999999995,4.12,3,kaggle_20k,1
5.75,9.850000000000001,4.78,1,kaggle_20k,0
8.29,5.74,3.69,9,kaggle_20k,0
6.51,8.879999999999999,5.99,4,kaggle_20k,1
6.86,5.38,9.49,7,kaggle_20k,1
2.91,5.64,3.71,4,kaggle_20k,0
8.26,9.100000000000001,6.06,5,kaggle_20k,0
6.68,11.36,5.09,8,kaggle_20k,1
8.52,6.8,5.54,8,kaggle_20k,0
3.84,12.08,8.4,3,kaggle_20k,1
3.65,7.029999999999999,6.05,5,kaggle_20k,0
0.73,5.99,7.55,1,kaggle_20k,0
7.8,8.86,9.81,7,kaggle_20k,1
3.64,4.55,7.32,7,kaggle_20k,1
3.61,8.03,5.36,8,kaggle_20k,0
7.04,10.96,5.78,3,kaggle_20k,1
2.9,5.91,7.87,1,kaggle_20k,1
9.14,8.36,7.86,8,kaggle_20k,1
5.61,10.07,5.58,5,kaggle_20k,0
9.71,8.68,8.07,10,kaggle_20k,1
1.23,8.940000000000001,6.85,7,kaggle_20k,0
3.7,6.48,9.86,1,kaggle_20k,1
4.12,8.1,9.36,4,kaggle_20k,0
7.44,7.84,8.77,6,kaggle_20k,1
2.52,11.27,3.24,7,kaggle_20k,0
4.07,8.11,5.66,2,kaggle_20k,1
9.15,5.76,7.01,5,kaggle_20k,1
1.59,4.32,6.65,8,kaggle_20k,0
7.58,6.57,8.34,3,kaggle_20k,1
7.17,2.9299999999999997,9.36,1,kaggle_20k,1
1.74,9.04,8.51,2,kaggle_20k,0
7.04,4.4,4.54,3,kaggle_20k,0
5.91,3.27,6.4,2,kaggle_20k,0
3.23,8.57,5.76,5,kaggle_20k,0
3.46,10.17,8.36,10,kaggle_20k,0
8.41,4.42,9.27,3,kaggle_20k,1
2.69,0.7799999999999999,5.01,8,kaggle_20k,0
5.37,4.84,6.42,1,kaggle_20k,0
6.97,13.510000000000002,8.12,3,kaggle_20k,1
1.73,6.93,3.35,4,kaggle_20k,0
9.36,7.68,9.74,9,kaggle_20k,1
2.98,9.91,8.6,5,kaggle_20k,0
3.53,4.390000000000001,6.8,10,kaggle_20k,1
6.83,8.52,8.45,6,kaggle_20k,0
1.24,9.71,8.85,4,kaggle_20k,0
6.46,3.69,6.46,9,kaggle_20k,0
9.2,8.43,6.08,8,kaggle_20k,1
2.87,5.41,8.86,8,kaggle_20k,1
3.94,5.17,9.02,1,kaggle_20k,1
2.71,3.9099999999999997,3.87,9,kaggle_20k,0
8.28,8.26,9.35,10,kaggle_20k,1
2.09,4.4399999999999995,4.94,6,kaggle_20k,0
3.79,5.95,7.67,7,kaggle_20k,0
6.21,0.8300000000000001,7.97,10,kaggle_20k,1
4.34,7.18,4.96,9,kaggle_20k,0
1.12,4.55,5.13,6,kaggle_20k,0
9.5,4.3100000000000005,7.94,5,kaggle_20k,1
3.71,5.4,4.23,8,kaggle_20k,0
4.73,1.75,9.01,4,kaggle_20k,1
2.09,4.58,4.56,8,kaggle_20k,0
8.72,5.79,5.46,4,kaggle_20k,1
3.27,5.6899999999999995,4.87,1,kaggle_20k,0
0.69,4.93,4.72,7,kaggle_20k,0
3.51,2.5500000000000003,9.85,1,kaggle_20k,1
9.85,6.48,4.77,2,kaggle_20k,1
1.9,10.84,7.05,3,kaggle_20k,0
0.8,2.73,8.22,1,kaggle_20k,0
5.99,10.39,3.29,6,kaggle_20k,0
4.03,7.76,9.17,3,kaggle_20k,1
8.05,6.819999999999999,4.07,3,kaggle_20k,1
7.45,8.290000000000001,7.12,9,kaggle_20k,1
2.26,5.96,7.49,8,kaggle_20k,0
5.86,1.0,7.41,2,kaggle_20k,1
0.81,4.44,8.13,9,kaggle_20k,0
4.68,5.48,9.52,10,kaggle_20k,0
7.28,5.59,9.49,2,kaggle_20k,1
4.44,9.59,7.05,2,kaggle_20k,1
1.62,9.64,5.59,3,kaggle_20k,0
1.08,9.8,5.25,3,kaggle_20k,0
8.61,5.449999999999999,9.21,8,kaggle_20k,1
8.97,4.74,8.97,2,kaggle_20k,1
3.76,10.58,5.07,1,kaggle_20k,1
2.06,3.5300000000000002,4.07,5,kaggle_20k,0
9.8,6.0600000000000005,9.03,1,kaggle_20k,1
5.69,6.46,7.26,3,kaggle_20k,1
5.03,7.84,5.19,6,kaggle_20k,0
7.55,12.120000000000001,7.27,6,kaggle_20k,1
2.1,4.09,3.46,5,kaggle_20k,0
6.01,10.57,4.33,1,kaggle_20k,0
8.96,9.16,6.82,1,kaggle_20k,1
0.72,6.59,6.77,3,kaggle_20k,0
6.89,6.57,4.73,10,kaggle_20k,1
5.74,5.9,9.87,8,kaggle_20k,1
9.53,9.66,5.89,9,kaggle_20k,1
2.96,1.69,7.96,7,kaggle_20k,0
8.66,0.97,4.81,3,kaggle_20k,1
3.44,2.5300000000000002,5.97,3,kaggle_20k,0
4.58,4.0,8.82,5,kaggle_20k,0
2.53,8.370000000000001,8.94,4,kaggle_20k,0
8.7,9.440000000000001,3.95,4,kaggle_20k,1
2.36,7.69,5.48,5,kaggle_20k,0
8.66,9.12,4.42,6,kaggle_20k,1
4.83,10.12,9.23,2,kaggle_20k,1
8.43,0.23,8.28,7,kaggle_20k,1
3.01,0.35,6.94,1,kaggle_20k,1
1.76,8.27,7.55,4,kaggle_20k,0
5.77,8.120000000000001,9.4,1,kaggle_20k,1
5.34,4.3100000000000005,5.12,5,kaggle_20k,0
3.89,6.6000000000000005,3.1,9,kaggle_20k,0
6.8,7.21,3.18,1,kaggle_20k,1
1.4,8.73,3.33,5,kaggle_20k,0
6.41,1.72,3.9,9,kaggle_20k,0
2.51,3.34,7.0,1,kaggle_20k,0
1.73,10.41,9.87,10,kaggle_20k,0
9.14,10.77,5.94,9,kaggle_20k,0
4.87,5.17,7.99,10,kaggle_20k,0
7.75,5.390000000000001,8.55,8,kaggle_20k,1
1.35,6.87,8.61,4,kaggle_20k,1
1.05,7.52,6.1,7,kaggle_20k,0
5.2,11.28,6.85,1,kaggle_20k,0
3.5,9.37,5.3,3,kaggle_20k,0
0.55,7.09,7.82,10,kaggle_20k,0
2.24,5.6899999999999995,5.68,4,kaggle_20k,0
2.58,2.99,5.18,1,kaggle_20k,0
3.24,7.09,7.39,9,kaggle_20k,0
8.84,11.96,5.39,9,kaggle_20k,1
4.5,11.3,5.86,3,kaggle_20k,1
6.95,7.96,7.98,3,kaggle_20k,1
0.67,3.74,8.97,3,kaggle_20k,0
8.23,5.789999999999999,6.04,5,kaggle_20k,1
2.78,7.89,6.66,5,kaggle_20k,0
3.44,3.75,8.22,3,kaggle_20k,0
0.93,5.79,4.57,10,kaggle_20k,0
4.39,13.4,5.91,8,kaggle_20k,0
8.6,4.69,8.68,7,kaggle_20k,1
4.1,6.0600000000000005,9.26,3,kaggle_20k,1
9.13,7.48,7.51,7,kaggle_20k,1
8.74,5.789999999999999,5.75,4,kaggle_20k,1
1.09,6.2,7.24,3,kaggle_20k,0
3.4,7.43,4.25,8,kaggle_20k,0
9.15,8.81,3.21,8,kaggle_20k,0
0.78,2.08,3.52,2,kaggle_20k,0
7.78,6.8500000000000005,3.76,9,kaggle_20k,1
9.11,6.45,4.58,3,kaggle_20k,1
7.82,1.65,6.23,2,kaggle_20k,1
7.57,7.119999999999999,4.63,4,kaggle_20k,1
8.51,2.66,7.1,9,kaggle_20k,1
6.83,6.66,9.99,9,kaggle_20k,1
4.52,4.09,6.49,2,kaggle_20k,0
1.1,6.37,8.3,2,kaggle_20k,0
7.99,9.39,5.05,2,kaggle_20k,1
9.1,7.9799999999999995,9.74,2,kaggle_20k,1
5.36,7.0600000000000005,4.74,5,kaggle_20k,0
5.56,10.42,7.18,5,kaggle_20k,1
4.33,6.220000000000001,9.88,2,kaggle_20k,1
8.64,8.49,8.66,7,kaggle_20k,1
0.64,7.85,9.94,5,kaggle_20k,0
6.43,6.430000000000001,5.66,7,kaggle_20k,1
9.12,7.39,3.54,6,kaggle_20k,1
1.48,5.93,4.7,1,kaggle_20k,0
9.61,4.55,9.7,2,kaggle_20k,1
9.69,1.9100000000000001,5.59,10,kaggle_20k,1
9.33,3.9,3.87,9,kaggle_20k,1
4.89,4.12,7.15,2,kaggle_20k,1
4.14,1.96,6.5,4,kaggle_20k,0
7.21,3.09,3.44,3,kaggle_20k,0
3.53,5.800000000000001,6.17,8,kaggle_20k,0
1.15,9.940000000000001,7.43,1,kaggle_20k,0
9.06,9.02,4.63,5,kaggle_20k,1
6.53,8.51,3.87,6,kaggle_20k,0
2.47,8.21,9.05,8,kaggle_20k,1
0.67,7.94,7.38,5,kaggle_20k,0
7.37,11.07,4.09,6,kaggle_20k,0
8.6,6.37,7.4,2,kaggle_20k,1
