window_title,quadrant
Counter-Strike,3.0
Team Fortress Classic,3.0
Day of Defeat,3.0
Deathmatch Classic,3.0
Half-Life: Opposing Force,3.0
Ricochet,3.0
Half-Life,3.0
Counter-Strike: Condition Zero,3.0
Half-Life: Blue Shift,3.0
Half-Life 2,3.0
Counter-Strike: Source,3.0
Half-Life: Source,3.0
Day of Defeat: Source,3.0
Half-Life 2: Deathmatch,3.0
Half-Life 2: Lost Coast,3.0
Half-Life Deathmatch: Source,3.0
Half-Life 2: Episode One,3.0
Portal,3.0
Half-Life 2: Episode Two,3.0
Team Fortress 2,3.0
Left 4 Dead,3.0
Left 4 Dead 2,3.0
Dota 2,3.0
Portal 2,3.0
Alien Swarm,3.0
Counter-Strike: Global Offensive,3.0
Rag Doll Kung Fu,3.0
Red Orchestra: Ostfront 41-45,3.0
Killing Floor,3.0
SiN Episodes: Emergence,3.0
Darwinia,3.0
Uplink,3.0
DEFCON,3.0
Multiwinia,3.0
Dangerous Waters,3.0
Space Empires IV Deluxe,3.0
Disciples II: Rise of the Elves ,3.0
Disciples II: Gallean's Return,3.0
Iron Warriors: T - 72 Tank Command ,3.0
Space Empires V,3.0
Arx Fatalis,3.0
Source Filmmaker,3.0
Earth 2160,3.0
Two Worlds Epic Edition,3.0
Dark Messiah of Might & Magic,3.0
Quake III Arena,3.0
Quake IV,3.0
Wolfenstein 3D,3.0
Ultimate Doom,3.0
Final DOOM,3.0
DOOM II,3.0
QUAKE,3.0
QUAKE II,3.0
QUAKE II Mission Pack: The Reckoning,3.0
QUAKE II Mission Pack: Ground Zero,3.0
QUAKE III: Team Arena,3.0
HeXen: Beyond Heretic,3.0
HeXen: Deathkings of the Dark Citadel,3.0
Heretic: Shadow of the Serpent Riders,3.0
The Ship: Murder Party,3.0
Bloody Good Time,3.0
Shadowgrounds,3.0
Gumboy - Crazy Adventures™,3.0
Alpha Prime,3.0
Vampire: The Masquerade - Bloodlines,3.0
GUN™,3.0
Call of Duty®,3.0
Call of Duty® 2,3.0
Call of Duty: United Offensive,3.0
Act of War: Direct Action,3.0
ThreadSpace: Hyperbol,3.0
ARMA: Combat Operations,3.0
X2: The Threat,3.0
X3: Reunion,3.0
X3: Terran Conflict,3.0
X: Beyond the Frontier,3.0
X: Tension,3.0
X Rebirth,3.0
688(I) Hunter/Killer,3.0
Fleet Command,3.0
Sub Command,3.0
FlatOut 2™,3.0
Xpand Rally,3.0
Call of Juarez™,3.0
Xpand Rally Xtreme,3.0
Men of War: Red Tide,3.0
King's Bounty: Armored Princess,3.0
Genesis Rising,3.0
Safecracker: The Ultimate Puzzle Adventure,3.0
Painkiller Overdose,3.0
Zuma Deluxe,3.0
Heavy Weapon Deluxe,3.0
Peggle Deluxe,3.0
Peggle Extreme,3.0
Venice Deluxe,3.0
Mystery P.I.™ - The Lottery Ticket,3.0
Amazing Adventures The Lost Tomb™,3.0
Mystery P.I.™ - The Vegas Heist,3.0
Amazing Adventures Around the World,3.0
Peggle™ Nights,3.0
Bejeweled Twist,3.0
Mystery P.I.™ - The New York Fortune,3.0
The Wizard's Pen™,3.0
Plants vs. Zombies GOTY Edition,3.0
Escape Rosecliff Island,3.0
Mystery P.I. - Lost in Los Angeles,3.0
Zuma's Revenge!,3.0
Sniper Elite,3.0
Judge Dredd: Dredd vs. Death,3.0
Evil Genius,3.0
Aliens versus Predator Classic 2000,3.0
Advent Rising,3.0
BloodRayne,3.0
BloodRayne 2,3.0
Psychonauts,3.0
Sid Meier's Civilization® IV,3.0
Sid Meier's Civilization® III Complete,3.0
Sid Meier's Pirates!,3.0
Shattered Union,3.0
CivCity: Rome,3.0
Civilization IV®: Warlords,3.0
Garry's Mod,3.0
Poker Superstars II,3.0
RACE - The WTCC Game,3.0
RACE: Caterham Expansion,3.0
RoboBlitz,3.0
Silverfall,3.0
City Life 2008,3.0
Silverfall: Earth Awakening,3.0
S.T.A.L.K.E.R.: Shadow of Chernobyl,3.0
Full Spectrum Warrior,3.0
Full Spectrum Warrior: Ten Hammers,3.0
Company of Heroes - Legacy Edition,3.0
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",3.0
"Warhammer® 40,000: Dawn of War® - Dark Crusade",3.0
Total War: MEDIEVAL II – Definitive Edition,3.0
Condemned: Criminal Origins,3.0
Rome: Total War™ - Collection,3.0
Rome: Total War™ - Alexander,3.0
Medieval II: Total War™ Kingdoms,3.0
Heroes of Annihilated Empires,3.0
Cossacks: Back to War,3.0
