study_hrs,distraction_hrs,sleep_hrs,stress_level,source,is_productive,strategy_type,switching_intensity
4.35,7.99,3.63,10,kaggle_20k,0,1,7.19013900862069
6.14,3.24,6.58,10,kaggle_20k,0,1,2.915650862068966
4.98,8.34,3.26,2,kaggle_20k,0,1,7.505101293103448
3.19,6.470000000000001,4.58,6,kaggle_20k,0,1,5.822302801724138
7.67,7.24,6.21,6,kaggle_20k,0,1,6.515219827586207
7.18,3.9,3.52,10,kaggle_20k,0,1,3.5095797413793104
9.06,10.43,6.36,8,kaggle_20k,0,1,9.385876077586207
6.37,6.5,4.86,6,kaggle_20k,0,1,5.849299568965518
4.19,6.25,4.87,3,kaggle_20k,0,1,5.6243265086206895
7.28,3.36,9.56,10,kaggle_20k,0,1,3.0236379310344828
6.38,3.08,7.83,10,kaggle_20k,1,1,2.7716681034482757
6.36,3.66,9.51,10,kaggle_20k,0,1,3.293605603448276
8.57,13.18,7.03,3,kaggle_20k,0,1,11.86057974137931
9.15,6.16,9.35,4,kaggle_20k,0,1,5.5433362068965515
2.21,12.95,8.86,8,kaggle_20k,0,1,11.653604525862068
3.48,4.33,9.98,5,kaggle_20k,0,1,3.8965334051724136
6.68,10.62,6.52,2,kaggle_20k,0,1,9.556855603448275
5.79,8.61,7.87,10,kaggle_20k,0,1,7.748072198275861
6.7,5.199999999999999,4.12,8,kaggle_20k,0,1,4.679439655172414
4.61,9.03,9.58,4,kaggle_20k,0,1,8.126026939655171
4.42,10.79,5.79,10,kaggle_20k,0,1,9.709837284482758
1.62,5.59,9.42,7,kaggle_20k,0,1,5.030397629310345
6.42,8.370000000000001,3.7,8,kaggle_20k,0,1,7.532098060344828
2.17,11.07,6.61,6,kaggle_20k,0,1,9.961807112068966
6.87,0.52,3.01,9,kaggle_20k,0,1,0.4679439655172414
9.69,8.42,5.91,8,kaggle_20k,0,1,7.577092672413793
2.94,4.08,3.58,8,kaggle_20k,0,1,3.6715603448275864
1.85,7.77,6.14,5,kaggle_20k,0,1,6.992162715517241
0.73,1.84,6.89,4,kaggle_20k,0,1,1.655801724137931
4.1,8.17,8.97,7,kaggle_20k,0,1,7.352119612068965
2.54,8.81,5.07,9,kaggle_20k,0,1,7.928050646551725
5.17,11.16,6.97,10,kaggle_20k,0,1,10.042797413793103
5.48,12.95,3.47,4,kaggle_20k,0,1,11.653604525862068
3.82,4.93,9.39,5,kaggle_20k,0,1,4.4364687499999995
7.62,3.98,6.16,7,kaggle_20k,0,1,3.581571120689655
9.1,8.23,4.77,2,kaggle_20k,0,1,7.406113146551725
2.51,6.53,6.24,2,kaggle_20k,0,1,5.876296336206897
8.44,5.300000000000001,6.37,9,kaggle_20k,0,1,4.769428879310346
1.75,5.5,8.2,9,kaggle_20k,0,1,4.949407327586207
2.67,2.45,9.82,6,kaggle_20k,0,1,2.2047359913793105
5.83,9.42,4.3,4,kaggle_20k,0,1,8.476984913793103
3.41,2.8,3.38,7,kaggle_20k,0,1,2.5196982758620687
0.9,6.050000000000001,7.59,10,kaggle_20k,0,1,5.444348060344828
3.3,6.0200000000000005,9.19,9,kaggle_20k,0,1,5.417351293103449
9.1,1.14,6.96,4,kaggle_20k,1,1,1.0258771551724137
2.16,11.53,3.56,2,kaggle_20k,0,1,10.375757543103449
7.76,9.56,5.95,10,kaggle_20k,0,1,8.602969827586207
7.36,7.76,7.58,8,kaggle_20k,0,1,6.983163793103448
1.51,8.45,5.3,3,kaggle_20k,0,1,7.604089439655172
3.63,2.9,8.91,1,kaggle_20k,1,1,2.6096874999999997
2.3,6.0600000000000005,4.57,9,kaggle_20k,0,1,5.453346982758621
0.72,8.11,5.55,2,kaggle_20k,0,1,7.298126077586207
2.14,8.47,9.42,1,kaggle_20k,0,1,7.622087284482759
2.41,2.73,7.01,9,kaggle_20k,0,1,2.456705818965517
2.08,7.290000000000001,3.04,5,kaggle_20k,0,1,6.560214439655173
1.37,8.15,4.71,3,kaggle_20k,0,1,7.334121767241379
5.5,6.12,8.27,5,kaggle_20k,0,1,5.50734051724138
3.57,6.82,3.36,10,kaggle_20k,0,1,6.137265086206897
9.13,9.43,9.95,5,kaggle_20k,0,1,8.485983836206897
2.28,6.77,9.29,3,kaggle_20k,0,1,6.092270474137931
6.23,2.45,4.57,2,kaggle_20k,1,1,2.2047359913793105
9.06,2.86,9.27,1,kaggle_20k,1,1,2.5736918103448274
0.95,6.82,7.9,7,kaggle_20k,0,1,6.137265086206897
5.4,3.51,5.98,3,kaggle_20k,0,1,3.158621767241379
4.78,6.42,4.37,4,kaggle_20k,0,1,5.777308189655172
9.32,1.43,4.4,5,kaggle_20k,1,1,1.2868459051724137
6.81,7.46,7.16,4,kaggle_20k,0,1,6.7131961206896555
3.82,1.66,5.91,8,kaggle_20k,0,1,1.493821120689655
7.26,8.51,7.17,7,kaggle_20k,0,1,7.658082974137931
6.04,7.890000000000001,5.31,3,kaggle_20k,0,1,7.100149784482759
3.8,3.51,4.61,6,kaggle_20k,0,1,3.158621767241379
7.96,6.35,8.86,7,kaggle_20k,0,1,5.71431573275862
6.85,9.63,9.44,10,kaggle_20k,0,1,8.66596228448276
0.55,6.16,7.94,4,kaggle_20k,0,1,5.5433362068965515
8.72,7.03,4.13,4,kaggle_20k,0,1,6.326242456896552
4.27,8.08,3.65,5,kaggle_20k,0,1,7.271129310344827
6.63,5.81,6.77,2,kaggle_20k,0,1,5.228373922413793
4.27,6.970000000000001,6.85,5,kaggle_20k,0,1,6.272248922413794
8.87,7.62,7.47,6,kaggle_20k,0,1,6.857178879310345
6.68,7.59,9.34,7,kaggle_20k,0,1,6.830182112068965
6.0,9.09,7.53,4,kaggle_20k,0,1,8.180020474137931
9.81,1.4600000000000002,9.41,1,kaggle_20k,1,1,1.3138426724137933
3.17,9.77,3.82,8,kaggle_20k,0,1,8.791947198275862
1.12,5.52,7.96,6,kaggle_20k,0,1,4.967405172413793
5.4,8.71,9.49,10,kaggle_20k,0,1,7.8380614224137934
4.53,6.279999999999999,6.24,10,kaggle_20k,0,1,5.651323275862068
4.82,12.04,9.77,2,kaggle_20k,0,1,10.834702586206896
6.39,8.07,6.87,3,kaggle_20k,0,1,7.262130387931035
