"ID","StartTimeToronto","EndTimeToronto","CompletionCode","Bonus"
"1701183943900","2023-11-28 10:05:58","2024-01-19 15:47:41","o1OO93-qwzIEvLqTuqOtx","0.00"
"1701294092914","2023-11-29 16:42:54","2023-11-29 16:52:46","v4F4iaauDVmNqNvQ9eBlV","1.00"
"1701294127758","2023-11-29 16:42:13","2023-11-29 16:53:19","Kr4hTwwkAKw2MgSxmx0xL","1.00"
"1701294196945","2023-11-29 16:43:32","2023-11-29 16:48:11","HpkYN8r6cHKqQ1VJNvzJx","0.22"
"1701294255981","2023-11-29 16:44:24","2023-11-29 16:50:07","Ehy1g_odWASqJimJvVYBy","0.84"
"1701294321562","2023-11-29 16:45:25","2023-11-29 17:32:33","FjGYooakbuS7fedLe6d0F","0.88"
"1701294580927","2023-11-29 16:49:51","2023-11-29 16:58:32","F-287bqt9vNwQVhTJaFMY","0.71"
"1701294604427","2023-11-29 16:50:16","2023-11-29 17:04:24","NPk7bKqirTnWjcDViUjSV","1.00"
"1701294695703","2023-11-29 16:51:42","2023-11-29 17:00:03","B0eBVP_vkzetYRx3LM6kB","1.00"
"1701295144929","2023-11-29 16:59:10","2023-11-29 17:03:24","W8hMMLdQVNj_NrQUDXEw6","0.75"
"1701295170193","2023-11-29 16:59:57","2023-11-29 17:03:58","6qe5iEYfgvuX6ROckNbAD","1.00"
"1701295249386","2023-11-29 17:00:52","2023-11-29 17:13:18","YaI5GfIDgaFv6VqzozdQE","0.91"
"1701295344563","2023-11-29 17:02:38","2023-11-29 17:08:55","2k9udVFfc8Ihji-sxijBw","0.98"
"1701295435020","2023-11-29 17:04:34","2023-11-29 17:27:06","jIS6rXevxYfAEQz5_qLzz","0.96"
"1701295782212","2023-11-29 17:09:52","2023-11-29 17:28:53","-g67tGhYqD_ut1gyovmzR","0.40"
"1701296087236","2023-11-29 17:16:51","2023-11-29 17:24:47","cuDJ7duRZVvSIlHRC88WL","0.00"
"1701297757967","2023-11-29 17:42:57","2023-11-29 17:50:00","0LSJK9pM7wa9GpdU45Sx8","0.84"
"1701298134924","2023-11-29 17:49:02","2023-11-29 18:12:38","jE8BuDsRRZyeMGP80OSRm","0.80"
"1701298582765","2023-11-29 17:56:27","2023-11-29 18:01:29","Dw6OFnNxzCnUKwNPZpow_","1.00"
"1701301645980","2023-11-29 18:47:31","2023-11-29 18:50:46","VSBsNieHCfSyvy9xH2nN9","0.68"
"1701302868474","2023-11-29 19:07:57","2023-11-29 19:17:39","DJxxUyKgh_KRnojryn4nb","0.70"
"1702330405303","2023-12-11 16:33:31","2023-12-11 16:40:55","30xdI3d6WsYVTIm3DZlwq","0.66"
"1702332762210","2023-12-11 17:12:48","2023-12-11 17:19:52","pRHVZUNXPX66cR7hCmQK_","1.00"
"1702332775566","2023-12-11 17:13:00","2023-12-11 17:27:24","0dluvac-Gq_5p82KNWG5I","0.82"
