timestamp,q1_urgent,q2_growth,q3_noise,q4_play,switching_intensity
2026-05-04 08:59:27,22,26,0,12,13
2026-05-04 09:07:39,8,32,0,27,14
2026-05-04 09:13:01,33,7,0,20,16
2026-05-04 09:37:30,13,30,0,1142,10
2026-05-04 09:40:45,0,8,0,0,2
2026-05-04 09:43:53,0,90,0,0,2
2026-05-09 22:31:34,7,0,0,0,11
2026-05-09 22:34:37,18,15,92,7,37
2026-05-11 15:56:44,15,11,0,0,10
2026-05-11 16:00:28,26,9,7,15,8
2026-05-11 16:01:19,12,9,0,0,4
2026-05-11 16:03:48,37,7,63,9,22
2026-05-20 11:13:35,58,3,58,5,17
2026-05-26 10:54:07,18,0,7,0,7
